# ts rotation(deg) translation(m)
377.959 4.47649 4.56755
377.959 4.33246 4.51514
377.959 4.35774 4.48011
377.959 4.31308 4.43851
377.959 4.32939 4.39851
377.959 4.53081 4.36332
377.959 4.77608 4.33616
378.608 8.2308 5.07574
378.608 7.44787 4.98752
378.608 6.76126 4.91751
378.608 6.02592 4.84768
378.608 5.34275 4.78227
378.608 4.79627 4.72799
378.608 4.15003 4.66228
378.608 3.8775 4.62087
378.608 3.79922 4.56972
378.608 4.06647 4.5301
378.608 4.53731 4.50006
378.608 5.13184 4.45842
378.608 5.93027 4.43256
378.608 6.72184 4.40361
379.358 10.1127 5.09078
379.358 9.15031 5.03366
379.358 8.18763 4.96619
379.358 7.23456 4.91657
379.358 6.23906 4.86285
379.358 5.38435 4.80482
379.358 4.6234 4.76195
379.358 4.14906 4.70183
379.358 4.12746 4.6609
379.358 4.34619 4.61307
379.358 4.99538 4.5663
379.358 5.7999 4.53947
379.358 6.75323 4.49882
379.958 10.3105 5.03932
379.958 9.04021 4.97319
379.958 7.83597 4.90873
379.958 6.6845 4.85327
379.958 5.59128 4.79423
379.958 4.61094 4.74739
379.958 3.95786 4.69165
379.958 3.83105 4.65021
379.958 3.93283 4.61698
379.958 4.59473 4.57365
379.958 5.63405 4.54254
379.958 6.85537 4.5173
380.508 9.66293 4.91751
380.508 8.28089 4.86124
380.508 6.92744 4.80401
380.508 5.65299 4.75781
380.508 4.57529 4.70945
380.508 3.82527 4.66823
380.508 3.65449 4.62945
380.508 4.13854 4.59436
380.508 5.09495 4.55756
380.508 6.3268 4.52939
381.008 9.56953 4.82336
381.008 8.16078 4.76878
381.008 6.80294 4.71758
381.008 5.53051 4.67564
381.008 4.52045 4.62863
381.008 3.88492 4.59634
381.008 3.79608 4.56314
381.008 4.31812 4.53328
381.008 5.22398 4.51316
381.008 6.32914 4.49891
381.008 7.46301 4.49381
381.558 9.22468 4.70784
381.558 7.87063 4.65697
381.558 6.58781 4.60811
381.558 5.40342 4.567
381.558 4.38376 4.52884
381.558 3.78144 4.49652
381.558 3.63896 4.47521
381.558 4.01084 4.45784
381.558 4.7199 4.44823
381.558 5.67586 4.44326
381.558 6.80821 4.44418
382.108 8.61801 4.58474
382.108 7.35438 4.53132
382.108 6.1504 4.4887
382.108 5.09041 4.44995
382.108 4.23946 4.42087
382.108 3.60579 4.40289
382.108 3.42537 4.38771
382.108 3.62616 4.38465
382.108 4.19645 4.38842
382.108 4.97992 4.39933
382.108 5.84355 4.41816
382.708 8.25965 4.46027
382.708 7.27111 4.40908
382.708 6.33353 4.3633
382.708 5.4768 4.32509
382.708 4.69002 4.29959
382.708 4.04056 4.27791
382.708 3.50886 4.26784
382.708 3.23284 4.26403
382.708 3.19914 4.27358
382.708 3.38567 4.29271
382.708 3.79834 4.31952
382.708 4.26523 4.35897
383.258 5.79998 4.23251
383.258 5.24363 4.18984
383.258 4.74571 4.15816
383.258 4.33206 4.13762
383.258 3.98163 4.1263
383.258 3.72772 4.12362
383.258 3.537 4.13243
383.258 3.40563 4.15239
383.258 3.36613 4.18231
383.258 3.34638 4.22499
383.758 5.02763 4.09552
383.758 4.72032 4.05336
383.758 4.42584 4.02172
383.758 4.17651 3.9988
383.758 3.97245 3.99082
383.758 3.79189 3.99033
383.758 3.60757 4.00697
383.758 3.50797 4.03547
383.758 3.40757 4.0769
383.758 3.32961 4.13064
384.208 4.42877 3.91805
384.208 4.26299 3.88801
384.208 4.16436 3.86489
384.208 4.03652 3.85888
384.208 3.9402 3.86634
384.208 3.88899 3.88533
384.208 3.79008 3.9224
384.208 3.74827 3.96644
384.208 3.64244 4.02884
384.658 4.30571 3.76907
384.658 4.24896 3.74031
384.658 4.20534 3.70947
384.658 3.95782 3.71001
384.658 3.85712 3.71832
384.658 3.65579 3.7563
384.658 3.75215 3.78608
384.658 3.63161 3.85575
384.658 3.75229 3.92503
385.108 3.67455 3.65663
385.108 3.60805 3.61329
385.108 3.5715 3.58926
385.108 3.62202 3.58214
385.108 3.87054 3.58853
385.108 3.91747 3.63054
385.108 3.95567 3.68023
385.108 3.96172 3.7524
385.508 3.85621 3.54546
385.508 3.86684 3.49305
385.508 3.7458 3.47138
385.508 3.80698 3.46009
385.508 3.75136 3.48017
385.508 3.90283 3.48987
385.508 3.87061 3.5396
385.508 3.90586 3.60814
385.908 3.34144 3.41032
385.908 3.24197 3.3596
385.908 3.35702 3.32384
385.908 3.50481 3.31366
385.908 3.46388 3.32587
385.908 3.41868 3.34992
385.908 3.32024 3.40503
385.908 3.41778 3.47493
386.308 3.02212 3.27349
386.308 3.13016 3.20439
386.308 3.23446 3.1743
386.308 3.2733 3.16677
386.308 3.49478 3.17615
386.308 3.44212 3.22188
386.308 3.61248 3.27529
386.308 3.62487 3.3631
386.708 3.28881 3.14013
386.708 3.36398 3.08484
386.708 3.22457 3.05967
386.708 3.28455 3.04253
386.708 3.23577 3.06019
386.708 3.24973 3.09299
386.708 3.33114 3.14944
386.708 3.29095 3.23503
387.108 3.19337 3.03286
387.108 3.17123 2.97952
387.108 3.27755 2.94036
387.108 3.39666 2.93069
387.108 3.35379 2.94685
387.108 3.47388 2.9785
