# ts rotation(deg) translation(m)
472.399 2.16259 1.59547
472.399 1.54242 1.55645
472.399 0.992006 1.5257
472.399 0.608684 1.50777
472.399 0.72342 1.49851
472.399 1.14042 1.50369
472.399 1.59467 1.52478
472.399 2.0911 1.55878
472.399 2.57917 1.6022
472.399 3.04038 1.65722
472.399 3.46892 1.72481
473.099 1.98467 1.88101
473.099 1.62506 1.78952
473.099 1.30486 1.71048
473.099 1.04917 1.63642
473.099 0.867795 1.57807
473.099 0.806159 1.53014
473.099 0.806214 1.49968
473.099 0.873028 1.48579
473.099 0.970798 1.49135
473.099 1.09273 1.51476
473.099 1.23276 1.5585
473.099 1.33788 1.61682
473.099 1.41038 1.69414
473.698 1.21401 1.85178
473.698 1.17759 1.7488
473.698 1.18958 1.65204
473.698 1.14979 1.57452
473.698 1.15178 1.51045
473.698 1.12605 1.47074
473.698 1.14501 1.4501
473.698 1.20796 1.45184
473.698 1.21773 1.48323
473.698 1.27318 1.53489
473.698 1.26578 1.61236
473.698 1.34432 1.70443
474.249 0.898181 1.73522
474.249 0.949007 1.62563
474.249 1.03925 1.53039
474.249 1.0229 1.46058
474.249 1.17175 1.41476
474.249 1.49252 1.38143
474.249 1.5094 1.39674
474.249 1.26845 1.4429
474.249 1.01301 1.51787
474.249 0.927848 1.6142
474.748 1.18204 1.77578
474.748 1.28799 1.64217
474.748 1.22589 1.53563
474.748 1.38059 1.43923
474.748 1.31485 1.39
474.748 1.3608 1.35294
474.748 1.21941 1.37165
474.748 1.30551 1.42019
474.748 1.65507 1.49896
474.748 1.67266 1.61181
475.198 1.36851 1.62114
475.198 1.52978 1.50105
475.198 1.47207 1.40396
475.198 1.50305 1.33395
475.198 1.21552 1.3089
475.198 1.01238 1.31904
475.198 0.862685 1.38024
475.198 0.701472 1.48801
475.198 0.731039 1.61754
475.649 1.2367 1.62133
475.649 1.32584 1.47451
475.649 1.33898 1.36068
475.649 1.32831 1.2863
475.649 1.47447 1.25366
475.649 1.41446 1.28024
475.649 1.46079 1.34867
475.649 1.38488 1.4653
476.048 1.21678 1.62253
476.048 1.30799 1.45672
476.048 1.33039 1.3264
476.048 1.42449 1.23725
476.048 1.41866 1.20369
476.048 1.35629 1.23408
476.048 1.32498 1.31478
476.048 1.10738 1.45318
476.448 1.87645 1.59747
476.448 1.77883 1.42245
476.448 1.7821 1.28052
476.448 1.79357 1.18402
476.448 1.85369 1.15024
476.448 2.07291 1.17762
476.448 2.17687 1.2638
476.448 2.3552 1.39665
476.848 2.16255 1.54137
476.848 2.17046 1.36581
476.848 2.20032 1.21328
476.848 2.11918 1.12251
476.848 2.14767 1.07622
476.848 2.12031 1.10552
476.848 2.13208 1.19594
476.848 2.18665 1.32723
477.248 2.04777 1.49151
477.248 2.04457 1.30412
477.248 2.04923 1.15536
477.248 2.27405 1.05178
477.248 2.45495 1.01218
477.248 2.58928 1.03965
477.248 2.76569 1.13091
477.248 2.76904 1.27492
477.648 2.54505 1.4592
477.648 2.61211 1.26217
477.648 2.64674 1.09074
477.648 2.55833 0.972346
477.648 2.46934 0.92017
477.648 2.45848 0.948061
477.648 2.46837 1.05738
477.648 2.50143 1.2225
478.048 2.48426 1.426
478.048 2.4958 1.20881
478.048 2.58265 1.0232
478.048 2.59646 0.890946
478.048 2.63358 0.835948
478.048 2.65448 0.877715
478.048 2.68866 0.999218
478.048 2.76704 1.18026
478.398 2.53953 1.16112
478.398 2.64741 0.953055
478.398 2.68354 0.800491
478.398 2.68569 0.735862
478.398 2.72192 0.781789
478.398 2.72922 0.928484
478.398 2.76896 1.13292
478.748 2.87428 1.13255
478.748 2.81449 0.901147
478.748 2.77883 0.726782
478.748 2.66078 0.656405
478.748 2.63537 0.710713
478.748 2.53034 0.880418
478.748 2.52557 1.10636
479.098 2.8491 1.09157
479.098 2.77652 0.846801
479.098 2.86577 0.644553
479.098 2.92242 0.55945
479.098 3.09001 0.622306
479.098 3.2704 0.809902
479.098 3.343 1.05288
479.448 2.93969 1.06818
479.448 2.98317 0.797953
479.448 3.04359 0.569185
479.448 3.10612 0.451071
479.448 3.11583 0.529981
479.448 3.0981 0.748845
479.448 3.00871 1.0256
479.798 3.12434 1.04432
479.798 3.12231 0.749724
479.798 3.12241 0.490257
479.798 3.14419 0.351102
479.798 3.10962 0.460959
479.798 3.156 0.716395
479.798 3.12987 1.01019
480.148 3.09842 1.02869
480.148 3.14216 0.718575
480.148 3.18686 0.431353
480.148 3.28594 0.246062
480.148 3.30647 0.384805
480.148 3.33368 0.667657
480.148 3.32993 0.980963
480.498 3.26408 1.01962
480.498 3.31388 0.698069
480.498 3.34196 0.385827
480.498 3.3941 0.156953
480.498 3.44512 0.341978
480.498 3.41873 0.65813
480.498 3.39906 0.98284
480.848 3.33321 1.02831
480.848 3.34976 0.701458
480.848 3.35352 0.383283
480.848 3.31002 0.155369
480.848 3.22177 0.354091
480.848 3.16647 0.677624
481.148 3.32339 1.04155
481.148 3.35337 0.718573
481.148 3.36587 0.421329
481.148 3.46143 0.240492
481.148 3.48403 0.396661
481.148 3.51834 0.692603
481.148 3.52364 1.01483
481.498 3.25949 1.06648
481.498 3.29794 0.758947
481.498 3.37685 0.489656
481.498 3.51478 0.354068
481.498 3.51882 0.477942
481.498 3.51757 0.751377
481.798 3.50257 1.11427
481.798 3.46415 0.814423
481.798 3.40203 0.569768
481.798 3.42244 0.461262
481.798 3.38341 0.574615
481.798 3.38964 0.825517
482.098 3.32548 1.14219
482.098 3.33999 0.872909
482.098 3.41923 0.660966
482.098 3.42376 0.579946
482.098 3.4403 0.677304
482.098 3.43591 0.894241
482.398 3.46968 1.20956
482.398 3.49219 0.953584
482.398 3.44962 0.763533
482.398 3.4318 0.693624
482.398 3.32032 0.777029
482.398 3.23927 0.976111
482.398 3.25907 1.23861
482.748 3.46905 1.27168
482.748 3.46928 1.04898
482.748 3.4801 0.88497
482.748 3.5707 0.839525
482.748 3.6259 0.905551
482.748 3.71478 1.07048
482.748 3.75072 1.29814
483.098 3.31146 1.35089
483.098 3.46936 1.15223
483.098 3.45371 1.01876
483.098 3.38779 0.970698
483.098 3.25845 1.0361
483.098 3.17032 1.18996
483.098 3.07123 1.40186
483.448 3.47226 1.43754
483.448 3.37298 1.2548
483.448 3.46858 1.14232
483.448 3.56874 1.10746
483.448 3.62139 1.16344
483.448 3.74759 1.28961
483.448 3.79639 1.47032
483.798 3.637 1.53473
483.798 3.61064 1.36904
483.798 3.60799 1.26699
483.798 3.57173 1.23727
483.798 3.51984 1.28744
483.798 3.49101 1.40973
483.798 3.40393 1.57971
484.148 3.80699 1.62008
484.148 3.80853 1.48011
484.148 3.79178 1.39115
484.148 3.8652 1.37571
484.148 3.877 1.41746
484.148 3.93231 1.52383
484.148 4.00292 1.67981
484.498 3.96775 1.72651
484.498 3.96548 1.60028
484.498 3.95988 1.52215
484.498 4.02867 1.51023
484.498 4.01751 1.54821
484.498 4.04694 1.64484
484.498 4.04372 1.78393
484.848 4.30375 1.83366
484.848 4.30319 1.72277
484.848 4.28458 1.65491
484.848 4.24255 1.64089
484.848 4.24546 1.67798
484.848 4.28406 1.76816
484.848 4.29675 1.89196
485.198 4.64338 1.94377
485.198 4.57765 1.84616
485.198 4.57176 1.79327
485.198 4.6281 1.78392
485.198 4.65709 1.81784
485.198 4.62777 1.88708
485.198 4.55255 1.99382
485.598 5.06412 2.17214
485.598 5.02819 2.06172
485.598 5.05439 1.99477
485.598 5.06592 1.95112
485.598 4.98646 1.94441
485.598 5.07209 1.97914
485.598 5.0869 2.03514
485.598 5.29101 2.12904
485.598 5.43176 2.23488
486.048 4.8279 2.30687
486.048 4.98733 2.22028
486.048 5.0884 2.15751
486.048 5.24617 2.13247
486.048 5.29568 2.12419
486.048 5.36491 2.15013
486.048 5.35912 2.1949
486.048 5.34037 2.26452
486.048 5.33332 2.35373
486.498 5.93706 2.45263
486.498 5.84188 2.39117
486.498 5.71983 2.33896
486.498 5.63699 2.31489
486.498 5.50573 2.31178
486.498 5.39887 2.33044
486.498 5.45411 2.36641
486.498 5.53855 2.41876
486.498 5.75928 2.4872
486.998 6.47964 2.69186
486.998 6.21236 2.62398
486.998 6.04887 2.57123
486.998 5.88539 2.52936
486.998 5.75125 2.50321
486.998 5.75438 2.49547
486.998 5.80504 2.49865
486.998 6.01637 2.52202
486.998 6.30435 2.55477
486.998 6.70645 2.60193
486.998 7.20804 2.65842
487.548 7.33494 2.84224
487.548 6.85612 2.78908
487.548 6.42668 2.74197
487.548 6.14099 2.7064
487.548 5.9756 2.68568
487.548 5.89419 2.67141
487.548 5.93112 2.6693
487.548 6.17694 2.67626
487.548 6.68251 2.69502
487.548 7.34774 2.72142
487.548 8.15651 2.76032
487.548 9.03585 2.8082
488.198 7.78738 3.03359
488.198 7.19932 2.98016
488.198 6.68296 2.93701
488.198 6.28356 2.89715
488.198 6.03335 2.86772
488.198 5.86241 2.84313
488.198 5.91565 2.8268
488.198 6.12253 2.81796
488.198 6.53917 2.81297
488.198 7.05821 2.82629
488.198 7.60527 2.83586
488.198 8.27657 2.85859
488.198 8.95704 2.89003
488.898 8.31899 3.20082
488.898 7.70569 3.14653
488.898 7.14044 3.09459
488.898 6.67563 3.0533
488.898 6.25191 3.01733
488.898 5.92454 2.98677
488.898 5.73248 2.96487
488.898 5.69645 2.94301
488.898 5.83416 2.9338
488.898 6.10617 2.92681
488.898 6.52747 2.92828
488.898 7.02521 2.93634
488.898 7.60994 2.94662
488.898 8.36472 2.967
489.598 8.86501 3.31824
489.598 8.07026 3.25163
489.598 7.32957 3.19056
489.598 6.68564 3.13083
489.598 6.2081 3.0838
489.598 5.83077 3.04185
489.598 5.63774 3.00769
489.598 5.64009 2.98039
489.598 5.7825 2.96433
489.598 6.12712 2.95399
489.598 6.59376 2.94932
489.598 7.22339 2.95669
489.598 7.86452 2.96894
489.598 8.62437 2.98788
490.247 7.61007 3.28947
490.247 6.9651 3.21433
490.247 6.4195 3.14687
490.247 5.96301 3.08577
490.247 5.66247 3.02878
490.247 5.54836 2.98241
490.247 5.56114 2.94488
490.247 5.76181 2.91383
490.247 5.96776 2.90151
490.247 6.36416 2.89565
490.247 6.85865 2.90226
490.247 7.30245 2.92676
490.797 6.5587 3.17928
490.797 6.27514 3.10055
490.797 6.06523 3.02843
490.797 5.75877 2.9738
490.797 5.40232 2.92684
490.797 5.21111 2.89814
490.797 4.92326 2.87384
490.797 4.84303 2.86472
490.797 4.8017 2.86964
490.797 4.84527 2.88049
491.297 5.32018 3.1587
491.297 5.08105 3.06597
491.297 5.02851 2.98685
491.297 5.008 2.91886
491.297 5.00669 2.85689
491.297 5.10771 2.82058
491.297 5.11899 2.79906
491.297 5.20822 2.79364
491.297 5.2908 2.81309
491.297 5.28149 2.84359
491.797 4.69547 3.12952
491.797 4.67055 3.02742
491.797 4.73179 2.94317
491.797 4.72988 2.8706
491.797 4.84565 2.81526
491.797 4.86188 2.77415
491.797 4.85299 2.75495
491.797 4.90153 2.74839
491.797 4.88331 2.76253
491.797 4.91966 2.79443
492.247 4.84781 3.0018
492.247 4.75497 2.90344
492.247 4.77429 2.83009
492.247 4.67983 2.76687
492.247 4.64157 2.72725
492.247 4.59896 2.70762
492.247 4.54269 2.7031
492.247 4.58175 2.73151
492.247 4.47216 2.76879
492.697 4.62583 2.99602
492.697 4.57499 2.89103
492.697 4.60804 2.80655
492.697 4.62598 2.74199
492.697 4.61674 2.69714
492.697 4.62799 2.67946
492.697 4.55009 2.68167
492.697 4.54674 2.70869
493.097 4.57781 2.97681
493.097 4.54649 2.86541
493.097 4.56062 2.78375
493.097 4.55814 2.71595
493.097 4.55253 2.66944
493.097 4.60621 2.65248
493.097 4.5987 2.65135
493.097 4.67179 2.68172
493.497 4.23933 2.94611
493.497 4.22585 2.83671
493.497 4.25926 2.74676
493.497 4.32549 2.67597
493.497 4.41004 2.63081
493.497 4.4303 2.62169
493.497 4.4063 2.622
493.497 4.36044 2.6566
493.897 4.47008 2.938
493.897 4.36686 2.82898
493.897 4.22975 2.72959
493.897 4.17907 2.66212
493.897 4.13516 2.61732
493.897 4.07758 2.60298
493.897 4.04199 2.60903
493.897 3.98822 2.64395
494.297 3.99284 2.91898
494.297 4.00511 2.80223
494.297 4.00926 2.71103
494.297 3.93079 2.64087
494.297 3.92787 2.59247
494.297 3.94992 2.57185
494.297 3.90961 2.58385
494.297 3.88348 2.61554
494.697 3.6803 2.90985
494.697 3.62392 2.78289
494.697 3.62346 2.68516
494.697 3.61277 2.60848
494.697 3.60602 2.56491
494.697 3.53646 2.53806
494.697 3.60888 2.5409
494.697 3.71766 2.57371
495.097 4.77979 2.82681
495.097 4.46012 2.72512
495.097 4.05938 2.62683
495.097 3.81919 2.57364
495.097 3.74019 2.52794
495.097 3.68015 2.51516
495.097 3.67421 2.5137
495.097 3.84983 2.54522
495.497 3.29932 2.82987
495.497 3.21449 2.71248
495.497 3.16214 2.61739
495.497 3.27734 2.54919
495.497 3.4425 2.50922
495.497 3.55004 2.49364
495.497 3.60934 2.50921
495.497 3.75356 2.54073
495.897 2.99705 2.78485
495.897 3.05247 2.6761
495.897 3.21585 2.58337
495.897 3.38904 2.52066
495.897 3.49611 2.47078
495.897 3.44572 2.45457
495.897 3.32058 2.45962
495.897 3.1548 2.496
495.897 3.02473 2.5548
496.347 3.21307 2.75069
496.347 3.15296 2.64062
496.347 3.16822 2.55156
496.347 3.18331 2.48712
496.347 3.15004 2.44989
496.347 3.17578 2.42645
496.347 3.26298 2.43219
496.347 3.32942 2.47131
496.347 3.41351 2.52466
496.797 3.04768 2.72737
496.797 3.09994 2.61997
496.797 3.06556 2.53332
496.797 3.01585 2.46815
496.797 3.01839 2.42187
496.797 2.99775 2.40904
496.797 2.95694 2.40865
496.797 2.96449 2.4382
496.797 2.98054 2.49117
497.247 3.15961 2.70354
497.247 3.08998 2.59884
497.247 3.07626 2.50732
497.247 3.09701 2.44305
497.247 3.0595 2.40205
497.247 3.07035 2.37689
497.247 3.08316 2.38311
497.247 3.13063 2.40674
497.247 3.22144 2.45596
497.697 3.19897 2.67074
497.697 3.10641 2.56068
497.697 3.02541 2.47487
497.697 2.99172 2.40258
497.697 3.04085 2.35782
497.697 3.05404 2.33693
497.697 3.13494 2.33666
497.697 3.25037 2.36127
497.697 3.40682 2.40815
498.147 3.10205 2.65457
498.147 2.95154 2.5491
498.147 2.86971 2.45702
498.147 2.76274 2.38826
498.147 2.75045 2.33998
498.147 2.75235 2.31733
498.147 2.72713 2.3164
498.147 2.79583 2.33518
498.147 2.86756 2.38693
498.596 2.11776 2.62791
498.596 2.19933 2.51878
498.596 2.34831 2.42514
498.596 2.57951 2.356
498.596 2.80453 2.31286
498.596 3.04428 2.28997
498.596 3.0464 2.29838
498.596 3.00331 2.3201
498.596 2.97105 2.3656
499.046 3.50163 2.59332
499.046 3.24584 2.4942
499.046 2.885 2.41384
499.046 2.68918 2.34456
499.046 2.66595 2.29734
499.046 2.69088 2.27324
499.046 2.76688 2.27465
499.046 2.89694 2.2994
499.046 2.99277 2.35641
499.497 2.79579 2.60007
499.497 2.77095 2.50022
499.497 2.72314 2.41455
499.497 2.61223 2.34991
499.497 2.53285 2.30613
499.497 2.48985 2.28152
499.497 2.38023 2.28615
499.497 2.39045 2.30233
499.497 2.40176 2.34813
499.947 2.40064 2.58097
499.947 2.41956 2.47867
499.947 2.42673 2.39731
499.947 2.51917 2.33161
499.947 2.5419 2.29012
499.947 2.59034 2.26609
499.947 2.60642 2.26465
499.947 2.5273 2.28313
499.947 2.49578 2.31845
500.397 3.49026 2.57816
500.397 3.17405 2.48088
500.397 2.73505 2.39493
500.397 2.40149 2.32053
500.397 2.2742 2.27503
500.397 2.46318 2.2423
500.397 2.90845 2.25427
500.397 3.36788 2.28236
500.397 3.72775 2.32756
500.896 3.26954 2.61889
500.896 3.19607 2.5194
500.896 3.04825 2.4365
500.896 2.80699 2.36138
500.896 2.48033 2.30101
500.896 2.23693 2.26121
500.896 2.13137 2.23299
500.896 2.17675 2.22891
500.896 2.55942 2.24397
500.896 2.93535 2.29022
500.896 3.2776 2.34782
501.446 2.16765 2.52929
501.446 2.19487 2.45519
501.446 2.22592 2.38174
501.446 2.22113 2.32858
501.446 2.20623 2.279
501.446 2.27474 2.24282
501.446 2.29689 2.22642
501.446 2.34947 2.2164
501.446 2.38411 2.2279
501.446 2.41145 2.24642
501.446 2.51194 2.27727
501.446 2.57893 2.3248
502.096 1.89185 2.52787
502.096 1.90346 2.46016
502.096 1.9903 2.39574
502.096 2.10502 2.34358
502.096 2.12843 2.30199
502.096 2.24101 2.26461
502.096 2.25717 2.24099
502.096 2.27283 2.2225
502.096 2.29267 2.2132
502.096 2.22532 2.2171
502.096 2.15717 2.2224
502.096 2.01559 2.24082
502.096 1.89267 2.26074
502.096 1.8805 2.28815
502.096 1.94723 2.32158
502.946 3.40118 2.48053
502.946 3.26242 2.43769
502.946 2.96275 2.41493
502.946 2.56811 2.38734
502.946 2.47816 2.35635
502.946 2.48613 2.33037
502.946 2.41754 2.30058
502.946 2.28892 2.26999
502.946 2.25032 2.24381
502.946 2.17042 2.22663
502.946 2.01511 2.21804
502.946 1.75967 2.2146
502.946 1.54746 2.21512
502.946 1.44618 2.22015
502.946 1.43828 2.22184
502.946 1.53777 2.23534
502.946 1.62677 2.25503
503.846 2.82924 2.60564
503.846 2.95431 2.55059
503.846 3.04131 2.49756
503.846 3.06734 2.44557
503.846 2.90091 2.39389
503.846 2.58067 2.35851
503.846 2.21556 2.32266
503.846 2.0028 2.28189
503.846 2.11375 2.24742
503.846 2.38169 2.21825
503.846 2.54696 2.20723
503.846 2.48533 2.20028
503.846 2.41857 2.19885
503.846 2.49115 2.20244
503.846 2.62021 2.21066
503.846 2.71936 2.22092
503.846 2.78553 2.23933
503.846 2.83954 2.25985
503.846 2.79054 2.29176
504.796 3.20136 2.55988
504.796 3.04338 2.50752
504.796 2.88122 2.45712
504.796 2.73782 2.40835
504.796 2.63458 2.36183
504.796 2.55262 2.31991
504.796 2.43823 2.28025
504.796 2.28063 2.2465
504.796 2.14547 2.21868
504.796 1.99074 2.20005
504.796 1.90914 2.18248
504.796 2.0598 2.16653
504.796 2.31799 2.15755
504.796 2.69162 2.15026
504.796 3.11762 2.15822
504.796 3.56784 2.17439
504.796 4.01688 2.20293
504.796 4.43214 2.24225
505.696 6.20788 2.52562
505.696 5.70327 2.46991
505.696 5.14641 2.41087
505.696 4.5757 2.35744
505.696 3.98507 2.31017
505.696 3.39042 2.26789
505.696 2.80275 2.2296
505.696 2.27848 2.19724
505.696 1.95057 2.17421
505.696 1.89098 2.15697
505.696 2.23637 2.14546
505.696 2.79898 2.1464
505.696 3.56905 2.14625
505.696 4.48322 2.15775
505.696 5.43618 2.17458
505.696 6.43501 2.19722
505.696 7.4551 2.23048
506.446 7.69457 2.29313
506.446 6.59073 2.24635
506.446 5.45784 2.21439
506.446 4.36081 2.18306
506.446 3.2988 2.15783
506.446 2.37617 2.13651
506.446 1.83679 2.12422
506.446 2.03137 2.11923
506.446 2.84681 2.1154
506.446 3.8907 2.12493
506.446 5.02236 2.13455
506.446 6.23932 2.15411
506.446 7.47777 2.17957
507.045 7.31125 2.19036
507.045 5.97654 2.15504
507.045 4.63777 2.1281
507.045 3.38414 2.09783
507.045 2.26098 2.08442
507.045 1.67418 2.07188
507.045 1.98983 2.07807
507.045 2.96623 2.08367
507.045 4.19466 2.09686
507.045 5.4208 2.12435
507.045 6.71477 2.15306
507.045 7.98123 2.19114
507.646 6.84743 2.1015
507.646 5.5976 2.07075
507.646 4.37168 2.05017
507.646 3.25199 2.03265
507.646 2.29126 2.02731
507.646 1.80317 2.02775
507.646 2.13223 2.03333
507.646 2.93836 2.05035
507.646 3.95331 2.06952
507.646 5.03269 2.09976
507.646 6.11608 2.1359
507.646 7.22518 2.17806
507.646 8.28269 2.2339
507.646 9.32519 2.28985
508.396 5.89413 2.09725
508.396 4.96888 2.05592
508.396 4.12838 2.02021
508.396 3.35623 1.99734
508.396 2.70552 1.98146
508.396 2.20277 1.97169
508.396 1.91732 1.9801
508.396 2.05884 1.9907
508.396 2.35149 2.02028
508.396 2.87855 2.05392
508.396 3.44962 2.10424
508.396 3.99713 2.1621
508.396 4.60211 2.22937
508.396 5.15098 2.3103
509.045 3.01093 2.02014
509.045 2.5805 1.9739
509.045 2.24962 1.9393
509.045 2.05026 1.91598
509.045 1.9004 1.90835
509.045 1.92336 1.91347
509.045 2.07785 1.93824
509.045 2.24815 1.97637
509.045 2.47824 2.02485
509.045 2.64308 2.09315
509.045 2.85811 2.17288
509.045 3.01051 2.26419
509.596 1.68453 1.9525
509.596 1.73078 1.89822
509.596 1.7701 1.8683
509.596 1.97969 1.85198
509.596 2.15821 1.85298
509.596 2.24348 1.87565
509.596 2.32129 1.91544
509.596 2.34698 1.97587
509.596 2.331 2.05109
509.596 2.26963 2.14688
509.596 2.20751 2.25069
510.145 4.59871 1.82718
510.145 4.52816 1.77354
510.145 3.84194 1.75461
510.145 3.04931 1.77141
510.145 2.63723 1.77751
510.145 2.37822 1.81742
510.145 2.50881 1.85452
510.145 2.44423 1.91295
510.145 2.27877 1.99863
510.145 2.34663 2.07647
510.145 2.43712 2.18347
510.695 1.39948 1.85309
510.695 1.20715 1.79692
510.695 1.01683 1.75471
510.695 1.08458 1.74003
510.695 1.92332 1.74543
510.695 3.09309 1.75633
510.695 3.80659 1.80221
510.695 3.9856 1.86219
510.695 3.53846 1.94657
510.695 2.99832 2.03805
510.695 2.67754 2.13052
511.295 3.27668 1.8009
511.295 3.10932 1.73031
511.295 2.95634 1.68308
511.295 2.99629 1.64506
511.295 3.02411 1.62578
511.295 2.79418 1.63214
511.295 2.40101 1.64561
511.295 1.83349 1.69008
511.295 1.62976 1.73464
511.295 1.56597 1.80653
511.295 1.66559 1.90236
511.295 1.9796 2.00382
511.895 2.54839 1.73363
511.895 2.82751 1.65573
511.895 2.92411 1.59942
511.895 2.87106 1.56975
511.895 2.92773 1.54453
511.895 2.75902 1.55755
511.895 2.8152 1.57217
511.895 2.70065 1.62021
511.895 2.59905 1.67988
511.895 2.6993 1.7511
511.895 2.74527 1.8493
511.895 2.97611 1.95207
512.495 2.74731 1.66384
512.495 2.79246 1.58761
512.495 2.86624 1.52489
512.495 2.81505 1.49047
512.495 2.89877 1.4678
512.495 2.85504 1.47334
512.495 2.84829 1.49961
512.495 2.95148 1.54468
512.495 2.92592 1.62329
512.495 3.15528 1.70586
512.495 3.33093 1.82261
512.495 3.43828 1.94649
513.045 3.41804 1.52575
513.045 3.34184 1.45982
513.045 3.23545 1.40637
513.045 2.97612 1.3879
513.045 2.78498 1.38639
513.045 2.63862 1.41957
513.045 2.49639 1.47796
513.045 2.47523 1.55627
513.045 2.36489 1.66632
513.045 2.35854 1.7886
513.545 2.57091 1.50025
513.545 2.58859 1.40282
513.545 2.64985 1.33452
513.545 2.67433 1.30488
513.545 2.77705 1.3019
513.545 2.80178 1.34523
513.545 2.86405 1.41421
513.545 2.92348 1.51704
513.545 2.97286 1.645
513.545 3.06442 1.78877
513.995 2.82062 1.34501
513.995 2.91157 1.26067
513.995 2.89883 1.2235
513.995 2.90184 1.22606
513.995 2.75592 1.27587
513.995 2.75098 1.35294
513.995 2.8746 1.47013
513.995 2.81037 1.61342
513.995 2.90904 1.76977
514.445 3.16658 1.31619
514.445 3.11617 1.22109
514.445 3.10643 1.16567
514.445 3.08218 1.1575
514.445 3.15427 1.20173
514.445 3.3701 1.29145
514.445 3.50543 1.43146
514.445 3.79109 1.59273
514.845 3.03696 1.26159
514.845 3.27314 1.15213
514.845 3.32366 1.09149
514.845 3.21206 1.08473
514.845 3.09954 1.12629
514.845 2.94958 1.22035
514.845 2.78868 1.34932
514.845 2.54238 1.50871
514.845 2.34758 1.68569
515.295 3.31104 1.18269
515.295 3.16675 1.06978
515.295 3.16869 1.00129
515.295 3.20288 0.99267
515.295 3.22996 1.04612
515.295 3.32909 1.14982
515.295 3.35246 1.29665
515.295 3.42281 1.4654
515.295 3.45429 1.65749
515.745 3.31084 1.11606
515.745 3.25301 0.99507
515.745 3.26856 0.921128
515.745 3.2445 0.916842
515.745 3.27173 0.970557
515.745 3.27208 1.07966
515.745 3.23681 1.22618
515.745 3.22181 1.39946
515.745 3.23995 1.59185
516.195 3.19848 1.04256
516.195 3.23717 0.916937
516.195 3.22802 0.846487
516.195 3.27666 0.838537
516.195 3.34673 0.897879
516.195 3.46306 1.01716
516.195 3.66963 1.17386
516.195 3.71871 1.35966
516.195 3.77968 1.55537
516.645 3.27313 0.978725
516.645 3.23402 0.849891
516.645 3.26318 0.771057
516.645 3.25422 0.768026
516.645 3.26323 0.829871
516.645 3.2157 0.952488
516.645 3.17612 1.1063
516.645 3.19727 1.28633
516.645 3.26949 1.47852
517.095 2.90278 0.908276
517.095 2.98705 0.775536
517.095 3.06974 0.697766
517.095 3.15286 0.692876
517.095 3.16393 0.762738
517.095 3.18411 0.883596
517.095 3.15028 1.04083
517.095 3.09209 1.21779
517.095 2.96468 1.40509
517.594 3.17233 0.985229
517.594 3.10531 0.825565
517.594 3.04758 0.700399
517.594 3.02699 0.625684
517.594 3.02189 0.627475
517.594 3.07594 0.694936
517.594 3.18606 0.817618
517.594 3.3412 0.970413
517.594 3.50096 1.14745
517.594 3.71734 1.33231
518.094 4.0508 0.872661
518.094 4.03428 0.722947
518.094 3.7103 0.618872
518.094 3.43747 0.566816
518.094 3.15696 0.582171
518.094 3.01248 0.654482
518.094 2.97505 0.76256
518.094 2.83797 0.909203
518.094 3.1014 1.06415
518.094 3.25982 1.24475
518.594 2.09278 0.89226
518.594 2.25037 0.739542
518.594 2.3395 0.615205
518.594 2.43652 0.531852
518.594 2.71241 0.529401
518.594 3.07894 0.607069
518.594 3.31554 0.735265
518.594 3.39945 0.888118
518.594 3.40255 1.05123
518.594 3.6229 1.2215
518.594 3.64134 1.39412
519.144 3.53437 0.797943
519.144 3.44537 0.656248
519.144 3.27993 0.548546
519.144 3.12564 0.480094
519.144 2.92727 0.479996
519.144 2.80892 0.541127
519.144 2.74574 0.654827
519.144 2.73478 0.798421
519.144 2.81221 0.964354
519.144 2.81624 1.14531
519.144 2.83586 1.32177
519.694 3.18211 0.786403
519.694 3.09763 0.637102
519.694 3.02808 0.516012
519.694 2.92659 0.446692
519.694 2.87763 0.438396
519.694 2.6926 0.512037
519.694 2.57189 0.624644
519.694 2.54756 0.767804
519.694 2.52043 0.927741
519.694 2.49871 1.096
519.694 2.4641 1.26858
520.244 2.84752 0.75626
520.244 2.83691 0.603459
520.244 2.74493 0.480492
520.244 2.77446 0.396562
520.244 2.73615 0.405113
520.244 2.7087 0.482522
520.244 2.69518 0.609809
520.244 2.67016 0.757361
520.244 2.56542 0.920785
520.244 2.59269 1.08249
520.244 2.71773 1.26167
520.794 2.6808 0.746567
520.794 2.7773 0.586942
520.794 2.89181 0.448026
520.794 2.90087 0.363453
520.794 2.83545 0.369891
520.794 2.7525 0.458896
520.794 2.61649 0.599438
520.794 2.62052 0.765211
520.794 2.59934 0.947808
520.794 2.64683 1.13497
520.794 2.70874 1.32681
521.344 2.54633 0.768592
521.344 2.64642 0.585782
521.344 2.70852 0.427164
521.344 2.80347 0.313422
521.344 2.89538 0.310708
521.344 2.97873 0.427018
521.344 3.00949 0.596543
521.344 3.01108 0.785461
521.344 2.98791 0.983911
521.344 2.97299 1.18895
521.844 3.22293 0.815439
521.844 3.14837 0.612054
521.844 3.07785 0.425252
521.844 3.06546 0.272813
521.844 3.06973 0.257631
521.844 3.082 0.393716
521.844 3.10064 0.585571
521.844 3.07341 0.794926
521.844 3.07876 1.01042
521.844 3.12577 1.23497
522.294 3.29488 0.638886
522.294 3.27099 0.421212
