# ts rotation(%) translation(%)
376.759 0.0267929 0.0187492
376.759 0.0276555 0.0230003
376.759 0.028596 0.0256132
376.759 0.0301608 0.0209732
376.759 0.0305664 0.021923
376.759 0.0319177 0.0218551
377.359 0.0275955 0.0209479
377.359 0.02683 0.0187778
377.359 0.0257463 0.0173623
377.359 0.0249915 0.0165126
377.359 0.0246585 0.0163764
377.359 0.023913 0.0175373
377.359 0.0240315 0.0184953
377.359 0.0230794 0.0195865
377.359 0.0224369 0.0176617
377.359 0.0214036 0.0152672
377.359 0.0221895 0.0127118
377.359 0.0233592 0.0104573
377.959 0.0450658 0.0350611
377.959 0.0408643 0.0309669
377.959 0.0368396 0.027209
377.959 0.0327888 0.0233836
377.959 0.0277616 0.0199862
377.959 0.0250361 0.0177906
377.959 0.0234502 0.0158583
377.959 0.0247474 0.0174612
377.959 0.0273476 0.0191238
377.959 0.03111 0.0206312
377.959 0.0358005 0.0236537
377.959 0.0410006 0.028769
377.959 0.0470195 0.0333784
378.608 0.0619304 0.0505437
378.608 0.0542208 0.0434207
378.608 0.0464364 0.0369748
378.608 0.0380643 0.0296238
378.608 0.0316177 0.0238575
378.608 0.0257269 0.0180458
378.608 0.0222166 0.0145682
378.608 0.0228843 0.0150606
378.608 0.0270597 0.0202094
378.608 0.0307329 0.0287152
378.608 0.0424393 0.0373452
378.608 0.0509018 0.0459449
378.608 0.0608408 0.0539715
378.608 0.0699706 0.0626755
379.358 0.0755001 0.0778564
379.358 0.0660258 0.0680435
379.358 0.0655406 0.0595199
379.358 0.0554561 0.0485833
379.358 0.0438993 0.0381166
379.358 0.0340589 0.027425
379.358 0.0252677 0.0182158
379.358 0.0221834 0.0141765
379.358 0.0260205 0.0201855
379.358 0.0322395 0.0289113
379.358 0.0432872 0.0405094
379.358 0.05344 0.0523095
379.358 0.0623478 0.0675859
379.958 0.0811953 0.0816715
379.958 0.0673085 0.0683493
379.958 0.0540066 0.0549333
379.958 0.0423891 0.0428398
379.958 0.0322887 0.0296747
379.958 0.0244249 0.0179642
379.958 0.0217008 0.0129564
379.958 0.0253452 0.020304
379.958 0.0311206 0.0313257
379.958 0.0424923 0.0448948
379.958 0.0551037 0.059385
379.958 0.0698192 0.074233
380.508 0.0771186 0.0786206
380.508 0.0618222 0.0633251
380.508 0.0481938 0.0491236
380.508 0.0347427 0.0341161
380.508 0.0252339 0.0201914
380.508 0.0203493 0.0154356
380.508 0.0298074 0.0228595
380.508 0.0414756 0.0369883
380.508 0.0565487 0.0523803
380.508 0.058202 0.0666616
381.008 0.0814872 0.0796627
381.008 0.0659852 0.0636033
381.008 0.0516421 0.0481336
381.008 0.0369045 0.0324003
381.008 0.0234517 0.0188439
381.008 0.019241 0.01224
381.008 0.02563 0.0216088
381.008 0.0376849 0.0357702
381.008 0.0502281 0.050981
381.008 0.062866 0.0677456
381.008 0.077474 0.0827101
381.558 0.0664055 0.07434
381.558 0.0537504 0.0603675
381.558 0.0516773 0.0473975
381.558 0.0397049 0.0323573
381.558 0.0279435 0.0180635
381.558 0.0206611 0.0105422
381.558 0.0231045 0.0180389
381.558 0.031645 0.0309765
381.558 0.0439069 0.0447223
381.558 0.0557888 0.0586535
381.558 0.0697409 0.0743515
382.108 0.0644255 0.0724383
382.108 0.0511844 0.0558222
382.108 0.040037 0.0416081
382.108 0.0306914 0.027289
382.108 0.0267901 0.0176826
382.108 0.0211027 0.00975023
382.108 0.0221388 0.0156653
382.108 0.0284549 0.0270293
382.108 0.0379392 0.039612
382.108 0.0489331 0.051698
382.108 0.060575 0.0638903
382.708 0.0617795 0.0707638
382.708 0.0539696 0.0564211
382.708 0.0437155 0.0454893
382.708 0.0352255 0.0346713
382.708 0.0336903 0.0253376
382.708 0.0271255 0.0151015
382.708 0.0212428 0.00924025
382.708 0.0195409 0.0105647
382.708 0.0231825 0.0181093
382.708 0.0291008 0.026618
382.708 0.0367389 0.0356263
382.708 0.0444735 0.0446235
383.258 0.0366515 0.0447983
383.258 0.0334047 0.0333182
383.258 0.0349492 0.0270245
383.258 0.028847 0.0204169
383.258 0.0243254 0.0152747
383.258 0.0206676 0.0104725
383.258 0.0197492 0.00834688
383.258 0.0208193 0.0101369
383.258 0.023067 0.0130984
383.258 0.0255855 0.0170571
383.758 0.0340951 0.0365259
383.758 0.030331 0.0314613
383.758 0.0279751 0.0207771
383.758 0.0252034 0.0189248
383.758 0.0229979 0.0154813
383.758 0.0214695 0.0119446
383.758 0.0211568 0.00931046
383.758 0.0219663 0.00871834
383.758 0.0218637 0.00952308
383.758 0.0230802 0.0119317
384.208 0.0286886 0.0269834
384.208 0.0285582 0.0178827
384.208 0.0270424 0.0153061
384.208 0.025606 0.0152759
384.208 0.024481 0.0134425
384.208 0.0239992 0.0118046
384.208 0.0235564 0.0104685
384.208 0.0232313 0.00973612
384.208 0.0228079 0.00946756
384.658 0.0230926 0.0203095
384.658 0.0260142 0.0169386
384.658 0.0251591 0.0160087
384.658 0.0241583 0.015009
384.658 0.0242373 0.0134316
384.658 0.0240403 0.0117374
384.658 0.0252178 0.0112467
384.658 0.026159 0.00995665
384.658 0.0274301 0.0101203
385.108 0.0226639 0.01662
385.108 0.0258054 0.0136398
385.108 0.0253601 0.0137145
385.108 0.0234433 0.01327
385.108 0.0236169 0.0131634
385.108 0.0238381 0.0124639
385.108 0.0242452 0.0118783
385.108 0.0249942 0.0114122
385.508 0.0223332 0.0158753
385.508 0.0234816 0.0152281
385.508 0.0263288 0.0138092
385.508 0.0250666 0.0140127
385.508 0.0228629 0.0136036
385.508 0.0232006 0.014052
385.508 0.0232381 0.0134013
385.508 0.0240299 0.013353
385.908 0.0186237 0.0142138
385.908 0.0203752 0.0141588
385.908 0.024539 0.0134618
385.908 0.0232885 0.0136312
385.908 0.0228021 0.0135991
385.908 0.0227826 0.0134292
385.908 0.0231923 0.0136253
385.908 0.0247464 0.0137726
386.308 0.0169779 0.0131422
386.308 0.0187247 0.0129105
386.308 0.0211854 0.0137867
386.308 0.0229145 0.0131579
386.308 0.0239581 0.0133352
386.308 0.0243569 0.014091
386.308 0.0264973 0.0140266
386.308 0.028623 0.0148156
386.708 0.0219217 0.0129056
